textid,textname,full_text
20160203the_wall,Вокруг Багдада построят стену для защиты от ИГ,"Иракские вооруженные силы начали строительство бетонной стены вокруг Багдада для защиты от нападений боевиков террористической группировки «Исламское государство» (ИГ, запрещена в России). Об этом во вторник, 3 февраля, сообщает телеканал Al Arabiya со ссылкой на заявление представителей ВС страны.По словам генерал-лейтенанта Абдулы Амира аль-Шаммари (Abdul Ameer al-Shammari), стена будет окружать Багдад со всех сторон. «Этот барьер не позволит террористам проникать в столицу или проносить сюда взрывчатые вещества, а также убивать мирных жителей, въезжая в город на начиненных взрывчаткой автомобилях», — заявил он.Материалы по теме12:03 23 октября 2015«Исламское государство — враг всех мусульман»Исламовед Александр Игнатенко о религиозном факторе в сирийском конфликтеПервую часть стены начнут возводить в районе Аль-Субайхат в 30 километрах к западу от Багдада, со стороны города Эль-Фаллуджа, который контролируют боевики ИГ. По информации BBC News, экстремисты по-прежнему удерживают северные и северо-западные территории Ирака.В последнее время участились атаки ИГ в Багдаде. Так, в середине января боевики вначале подорвали заминированный автомобиль в районе аль-Джадда, а потом устроили стрельбу в торговом центре. В результате погибли по меньшей мере 18 человек."
20131009opg,В Татарстане посадили двух членов ОПГ «29 комплекс»,"В Татарстане вынесен приговор двум членам преступной группировки «29 комплекс». Об этом 9 октября сообщается на сайте Следственного комитета РФ.45-летнего Валерия Слободина признали виновным в пяти убийствах, а 42-летнего Александра Беленко — в четырех убийствах. Слободин приговорен к 16 годам колонии, а Беленко (для которого это уже не первое судебное разбирательство) — к 25 годам. Слободин и Беленко вошли в состав банды в конце 1993 года. В 1996 году руководители банды приказали им убить члена группировки «бригада Рузалика», контролировавшего деятельность Мензелинского и Петровского ликероводочных заводов. Приказ был исполнен в деревне Старое Мазино. Впоследствии по подозрению в этом убийстве были объявлены в розыск двое членов «29 комплекса». Опасаясь, что после задержания они раскроют обстоятельства преступления, руководители банды приказали Слободину и Беленко ликвидировать их. В марте 1997 года преступники разыскали бывших соратников и пообещали помочь им скрыться. Они вывезли мужчин в охотничье сообщество в Дмитровском районе Подмосковья, где застрелили, расчленили и закопали. Каким образом были совершены еще два убийства, СК не сообщает.Банда «29 комплекс» была создана Мансуром Сафиным. В банду входили спортсмены, там приветствовался здоровый образ жизни. 29-й комплекс — один из районов Набережных Челнов. Изначально существовало много группировок, получивших названия по номерам городских районов-комплексов. Однако утвердиться в преступной среде смогла только одна. Впоследствии банда действовала не только в Татарстане, но и в Москве, и на Украине. Когда Сафин получил срок лишения свободы, лидером группировки стал Адыган Саляхов по кличке Алик Большой. После отсидки Сафина застрелили. Впоследствии вместе с Саляховым лидерами банды стали Юрий Еременко по кличке Ерема и Александр Власов по кличке Шурин. В конце 1990-х годов лидеры перебрались в Москву, где приобрели легальный бизнес. В Набережных Челнах бандой стал руководить Рузаль Асадуллин по кличке Рузалик. Он присылал лидерам в Москву примерно по миллиарду рублей в год. Затем Асадуллин получил небольшой срок, и на его место поставили Рамиля Валеева по кличке Рамушкин. В 2000-х годах в банде произошел раскол, началась криминальная война. В 2004 году преступное сообщество прекратило существование. Многие его члены были осуждены, другие были задержаны в последующие годы и находятся под следствием.В СМИ появлялась информация о том, что с «29-м комплексом» якобы был связан Василий Якеменко, ранее занимавший пост руководителя Росмолодежи. Об этом журналистам рассказывал муж двоюродной сестры Якеменко Олег Сваток. Сам Якеменко прокомментировал его выступление словами: «Больной человек»."
20151209homs,СМИ сообщили о переходе города Хомс под контроль сирийской армии,"В результате перемирия, заключенного между рядом представителей оппозиции и Дамаском, сирийские повстанцы покидают город Хомс, сообщает в среду, 9 декабря, BBC News со ссылкой на правозащитников из Syrian Observatory for Human Rights.Сообщается, что они отправятся в район провинции Идлиб, который удерживает Сирийская Свободная Армия.Как сообщает Reuters, в среду, 9 декабря, из города должны уехать около 800 человек.Материалы по теме11:52 31 октября 2015Большой разговорКак участники переговоров в Вене договорились урегулировать сирийский конфликт07:04 12 ноября 2015Игра по новым правиламЧто операция в Сирии значит для российско-американских отношений и миропорядкаХомс, находившийся под контролем повстанцев в течение четырех лет, называли «столицей революции». Именно там в 2011 году вспыхнули первые антиправительственные протесты.В начале декабря сирийские власти согласовали с оппозицией план отступления вооруженных отрядов из Хомса. Повстанцы начали покидать удерживаемый ими район города с понедельника, 7 декабря.Соглашение между властью и оппозицией было заключено после того, как в городе провели встречу сотрудники ООН, которые занимались разработкой финального варианта документа. Он предполагает возможность для повстанцев сдать оружие и вернуться к мирной жизни.По словам сотрудников ООН, прекращение огня может стать самым эффективным способом урегулирования в стране, где уже почти пять лет продолжается война.14 ноября состоялся очередной раунд международных переговоров по Сирии в Вене. Во встрече приняли участие представители России, США, Франции, Великобритании, Германии, Турции, Саудовской Аравии, Ирана, другие региональные игроки, а также представители ООН, ЕС, Лиги арабских государств и Организации исламского сотрудничества.Переговорщики искали политическое решение кризиса в стране. По итогам встречи было принято коммюнике из девяти пунктов. Документ предусматривает формирование переходного правительства, принятие новой конституции и всеобщие выборы. О судьбе президента страны Башара Асада сторонам договориться не удалось.Общенационального плана мирного урегулирования в Сирии нет, поэтому иногда лояльные официальному Дамаску силы и их противники заключают местные соглашения о прекращении огня. 26 октября сирийская армия начала наступление в провинции Хомс при поддержке российской авиации, которая оказывает поддержку силам Асада с 30 сентября 2015 года по его просьбе."
20131203sadykov,Двух задержанных за наркотики казанских полицейских отстранили от работы,"Советский районный суд Казани отстранил от исполнения обязанностей двоих из четверых полицейских, подозреваемых в незаконном хранении наркотиков, превышении должностных полномочий и воспрепятствовании осуществлению правосудия. Об этом 3 декабря сообщает агентство «Интерфакс».Отстранены от работы начальник полиции УМВД Казани Руслан Халимдаров и старший оперуполномоченный отдела по борьбе с незаконным оборотом наркотиков (ОБНОН) управления уголовного розыска МВД Татарстана Марат Садыков. В период вынужденной безработицы обоим полицейским будут выплачивать пособие в размере прожиточного минимума — 7941 рублей в месяц.Ходатайства об отстранении начальника ОБНОН Татарстана Андрея Алексеева и начальника ОБНОН Казани Дмитрия Андриенко пока не рассмотрены.Халимдаров, Садыков, Алексеев и Андриенко были задержаны у себя в кабинетах спецназом 29 ноября. При обыске в кабинетах нашли героин и неизвестное вещество растительного происхождения. Кроме того, в квартире у одного из фигурантов (у кого именно, не уточняется) обнаружили документы с грифом «совершенно секретно», незарегистированные травматический пистолет и охотничье ружье. Вечером 29 ноября суд отказался взять полицейских под арест. Они были освобождены под подписку о невыезде, а впоследствии вышли на работу. Прокуратура обжаловала отказ в аресте.По версии следствия, полицейские подкинули наркотики задержанному. Коллеги задержанных утверждают, что их якобы оговорил гражданин по фамилии Кучаев, отбывающий срок за наркоторговлю. Коллеги связывают преследование полицейских с их конфликтом с Федеральной службой по контролю оборота наркотиков, которая якобы покровительствовала преследуемой ОБНОНом банде наркоторговцев. В прокуратуре Татарстана информацию о конфликте двух ведомств опровергают."
20130605mosque,В сомалийском квартале Лондона сожгли мечеть,"Здание мечети и исламского центра Аль-Рахма сгорело в сомалийском квартале в Лондоне, сообщает The Daily Telegraph. Расследование происшествия было поручено контртеррористическому подразделению Скотленд-Ярда. В поджоге подозревают экстремистов.На сожженном здании были обнаружена надпись EDL, которая обычно означает English Defence League - ультраправую антиисламскую группировку. В то же время, по словам лидера EDL Томми Робинсона, в городе Лутон было совершено около 25 поджогов, организаторы которых подписывались той же аббревиатурой, но на поверку за все эти действия были арестованы мусульмане.В то же время представители мусульманских организаций заявляют, что после убийства военнослужащего Ли Ригби две недели назад, в Британии произошла вспышка антиисламских настроений. Лидер сомалийской диаспоры в Великобритании Мохаммед Эльми подчеркнул, что его соотечественники «сильно напуганы» происходящим. «Люди боятся выходить на улицу, женщины опасаются носить хиджаб на публике», - цитирует его The Guardian.По данным общественной организации Faith Matters, за две недели зафиксированы 222 инцидента антимусульманской направленности. Наиболее серьезной из них до сегодняшнего дня была попытка поджога исламского культурного центра в Гримсби.Барабанщик Королевского стрелкового полка Ли Ригби был зарезан в лондонском районе Вулвич 22 мая. По подозрению в совершении преступления были арестованы двое британских мусульман нигерийского происхождения, Майкл Адебовале и Майкл Адеболаджо.Один из злоумышленников успел записать видеообращение, в котором объяснил совершенное преступление местью за убийства мусульман британскими военными."
20140630found_dead,Похищенных израильских подростков нашли убитыми,"Тела трех похищенных израильских подростков были обнаружены в понедельник, 30 июня, на Западном берегу реки Иордан. Об этом сообщает The Guardian. Их трупы были закопаны в поле между городом Халхулом и соседней деревней в провинции Хеврон. Израильские власти обвиняют радикальную палестинскую организацию ХАМАС в их убийстве.Как сообщается, волонтеры и военные нашли два тела под кучей камней. Копнув глубже, они заметили еще один труп. По словам подполковника Питера Лернера (Peter Lerner), семьи погибших уже оповещены об этом.Официальный Тель-Авив назвал в качестве подозреваемых двух членов группировки ХАМАС. Несмотря на аресты 400 палестинцев, эти двое до сих пор находятся в бегах.Премьер-министр Израиля Биньямин Нетаньяху провел вечером в понедельник, 30 июня, встречу с силовиками, где обсуждалась реакция государства на смерть подростков. Глава правительства заклеймил их убийц как «животных в человечьем обличье». Такую цитату приводит Agence France-Presse. По его словам, «ХАМАС заплатит за это».Британский лидер Дэвид Кэмерон назвал гибель подростков «ужасным и непростительным актом террора».Трое учеников еврейской религиозной школы пропали в четверг, 12 июня, недалеко от города Хеврон. Школьники поймали попутную машину в районе поселений Гуш-Эцион, чтобы отправиться по домам на выходные. После исчезновения подростков израильская армия развернула масштабную поисковую операцию. Нетаньяху возложил ответственность за произошедшее на группировку ХАМАС.С начала поисковой операции военные убили как минимум четырех палестинцев."
20130808case1,Возбуждено дело о покупке торгпредства Венгрии в Москве,"МВД РФ возбудило дело о мошенничестве при покупке здания торгового представительства Венгрии в центре Москвы. Об этом 8 августа сообщает агентство «Интерфакс».Махинации были выявлены Счетной палатой РФ и переданы в Генпрокуратуру, которая выслала документы в МВД. По версии следствия, в 2008 году Минрегион РФ приобрел здание на улице Красная Пресня по значительно завышенной стоимости. Сделка оформлялась через коммерческую фирму, которая сначала купила торгпредство у Венгрии за 575 миллионов рублей, а потом продала его Минрегиону за 3,5 миллиарда рублей.По информации МВД, при перечислении денег из бюджета в стоимость здания необоснованно включили стоимость прав на земельный участок на сумму более 600 миллионов рублей. При этом данный участок уже находился в собственности РФ.Дело возбуждено по четвертой части 159-й статьи УК РФ (мошенничество в особо крупном размере). О появлении в деле подозреваемых МВД пока не сообщает.В 2011 году в связи с продажей московского здания были арестованы несколько венгерских чиновников. Фигурантами дела о незаконной продаже здания стали бывший глава госимущества Миклош Татраи, экс-госсекретарь МИДа Фекси Хорват и бывший посол Венгрии в Москве Арпад Секей. Об исходе дела пока не сообщалось.Утром 8 августа некоторые СМИ сообщили, что в России претензии в связи с продажей здания торгпредства могут быть предъявлены губернатору Пермского края (экс-главе Минрегиона) Виктору Басаргину и руководителю группы «Ренова» Виктору Вексельбергу.Ранее Вексельберг уже упоминался в связи с данной ситуацией блогером Алексеем Навальным и некоторыми СМИ. Вексельберг категорически отрицал свою причастность к махинациям. Он подавал иск о защите чести и достоинства к издательскому дому «Коммерсантъ», но в июне 2012 года отозвал иск."
20150406pattaya,Российского туриста зарезали в апартаментах в Паттайе,"В одном из отелей таиландского города Паттайя обнаружено тело убитого российского гражданина. Об этом ТАСС сообщил заведующий консульским отделом посольства РФ Владимир Соснов.По его словам, прибывший из Москвы Федор Гусев «получил ножевые ранения, несовместимые с жизнью». «По нашей информации, по подозрению в убийстве объявлен в розыск также гражданин РФ», — добавил консул.Как сообщили в полицейском управлении провинции Чонбури, Гусев въехал в апартаменты вместе с тремя другими россиянами несколько недель назад. Они арендовали два номера.Тело 34-летнего мужчины было обнаружено персоналом гостиницы Porn Apartments, сообщает издание Pattaya One. Турист должен был съехать из одного из номеров на втором этаже еще в субботу, 4 апреля, однако не сделал этого. Когда дверь была открыта, сотрудники увидели труп с многочисленными ножевыми ранениями в шею и грудь.В комнате остались следы борьбы. Выяснилось, что с момента убийства до обнаружения тела прошло по меньшей мере двое суток.Персонал гостиницы показал, что в начале апреля трое россиян, заявив, что направляются в Бангкок для замены паспортов, покинули апартаменты и оставили Гусева одного в номере. Полиция приступила к их розыску, чтобы арестовать по подозрению в убийстве."
20140307med,Мошенник похитил мед на два миллиона рублей,"В Орловской области задержан подозреваемый в хищении меда более чем на два миллиона рублей. Об этом 7 марта сообщается на сайте областного управления МВД.Фигурантом уголовного дела о мошенничестве стал уроженец города Россошь Воронежской области 1978 года рождения. По версии следствия, он под видом скупщика меда ездил по фермерским хозяйствам, а также давал объявления в газетах и интернете.Фермеры под расписку отдавали мужчине мед на реализацию. Чтобы убедить их в своей честности, он при них разыгрывал сцены передачи денег другим клиентам (кто играл их роль, не уточняется). Спустя некоторое время мужчина переставал отвечать на телефонные звонки.Потерпевшими по делу проходят 11 фермеров из Орловской области. Именно они потеряли два миллиона рублей. Также потерпевшими стали 23 фермера из Воронежской области. Какой ущерб понесли они, следствие пока не подсчитало. Установить местонахождение похищенного меда или денег, вырученных от его продажи, также пока не удалось."
20150304it_was_him,Защита признала причастность Царнаева к теракту в Бостоне,"Защита Джохара Царнаева на первом заседании суда признала его причастность к организации взрыва на Бостонском марафоне. Об этом сообщает Reuters.По словам адвоката Джудит Кларк, брат обвиняемого Тамерлан спланировал теракт и привлек к его осуществлению Джохара. «Тамерлан проникся радикальными идеями. Джохар последовал за ним», — сказала защитник.Материалы по теме19:20 22 апреля 2013«Есть люди, которые знают правду»В США гадают, кто стоял за братьями ЦарнаевымиВ свою очередь помощник прокурора Уильям Уайнреб заявил, что братья Царнаевы хотели наказать США за военные действия в странах, населенных преимущественно мусульманами. «Он (Джохар — прим. «Ленты.ру») верил, что он солдат в священной войне против американцев», — сказал Уайнреб.Сам подсудимый не согласен со всеми 30 пунктами выдвинутых против него обвинений.Это первое заседание по делу Царнаева. Суд проходит в Бостоне.В результате теракта на Бостонском марафоне 15 апреля 2013 года погибли 3 человека, более 250 получили ранения. В организации взрывов обвинили братьев Царнаевых — уроженцев Чечни, перебравшихся в США около 10 лет назад. Один из них, Тамерлан, при задержании был смертельно ранен."
20130902shodka,В Екатеринбурге пресекли криминальную сходку,"Сотрудники правоохранительных органов 1 сентября пресекли в Екатеринбурге криминальную сходку. Об этом сообщает 2 сентября «Интерфакс» со ссылкой на пресс-службу ГУ МВД по Свердловской области.По данным полиции, 48 «представителей преступного мира» встретились днем в воскресенье, 1 сентября, в кафе улице Ангарская, чтобы обсудить «новый передел криминального рынка».Среди собравшихся были, в частности, жители Уфы, Челябинска и Норильска. Большинство участников встречи оказались уроженцами Азербайджана. Как сообщает «Новый регион — Екатеринбург» со ссылкой на данные полиции, многие из участников сходки относятся к группе Тимури Мирзоева, или Тимура Свердловского», племянника убитого в январе 2013 года криминального авторитета Аслана Усояна (Деда Хасана).При обыске у задержанных были изъяты травматические пистолеты, холодное оружие и бита. Участников сходки доставили в отделение полиции, где сняли их отпечатки пальцев и проверили на причастность к преступлениям, совершенным в Свердловской области. В частности, среди задержанных оказалась четыре подозреваемых в нападении на директора гостиничного комплекса в Камышлове, совершенном двумя днями ранее.Операцию проводили сотрудники отдела по борьбе с организованной преступностью Управления уголовного розыска регионального управления МВД при поддержке сотрудников СОБР и ОМОН."
20130404ladygin,В Петербурге у оперативников отбили подозреваемого в убийстве,"В Санкт-Петербурге у сотрудников полиции отбили мужчину, доставленного в Следственный комитет. Об этом 4 апреля пишет газета «Комсомольская правда».Пресс-секретарь ГУ МВД по Северо-Западу Игорь Одушко сказал журналистам, что 36-летний мужчина по фамилии Ладыгин скрылся у здания СК, где его дожидалась «Тойота». Задержанный выскочил из полицейской машины и запрыгнул в «Тойоту». После этого водитель немедленно тронулся с места. Дверь машины была открыта, один полицейский пытался вытащить Ладыгина из салона. Его протащило по земле несколько десятков метров.Полицейские не имели права применять оружие. Официальный представитель городского управления СК Сергей Капитонов пояснил: «Сбежавший не был задержанным в процессуальном смысле слова. И подозреваемым тоже. У нас лишь есть основания считать его причастным к особо тяжкому преступлению — убийству местного жителя».Как стало известно журналистам, Ладыгин недавно вернулся в РФ из Доминиканы. Полицейские по просьбе следователей задержали его в Москве и привезли в Петербург для беседы. В каком убийстве его подозревают, не уточняется."
20140203court,В Турции начали судить полицейских за убийство демонстранта,"В Турции начался процесс над четырьмя полицейскими, обвиняемыми в убийстве в июне 2013 года 19-летнего демонстранта Али Исмаила Коркмаза. Об этом 3 февраля сообщает Agence France-Presse.Помимо полицейских, перед судом предстанут еще четверо человек, которые предположительно участвовали в избиении демонстранта. Если арестованные будут признаны виновными в убийстве, им грозит пожизненное заключение.Из соображений безопасности суд был перенесен из города Эскишехир, где произошло избиение, в расположенный в 500 километрах от него город Кайсери. Улицы, примыкающие к зданию суда, перекрыты, демонстрации запрещены. Охраной безопасности занимаются 2000 полицейских, пишет Hürriyet Daily News.Али Исмаил Коркмаз был избит в Эскишехире 2 июня 2013 года, после чего впал в кому. В начале июля молодой человек скончался, не приходя в сознание. Его избиение зафиксировала камера видеонаблюдения. На записи видно, как группа лиц в гражданской одежде избивает двух человек предметами, похожими на бейсбольные биты.Молодой человек стал одной из шести жертв массовых протестов в Турции. Местные правоохранительные органы проводят расследование в отношении еще одного полицейского по факту убийства другого демонстранта. 26-летний Этем Сарысюлюк был застрелен в начале июня 2013 года в Анкаре. Убийство также было заснято на видеокамеру.Всего в ходе демонстраций в крупнейших турецких городах летом 2013 года были ранены более 8000 человек. Протесты начались с требований отмены вырубки парка Гези в центре Стамбула, однако затем участники акций стали добиваться отставки премьер-министра Турции Реджепа Тайипа Эрдогана."
20130707katada,Абу Катаду увезли из британской тюрьмы для депортации в Иорданию,"В Великобритании началась процедура депортации радикального исламиста Абу Катады в Иорданию. Об этом сообщает Sky News.В ночь на 7 июля Катада был вывезен из лондонской тюрьмы Белмарш на базу британских ВВС Нортхолт. В ближайшее время исламист будет посажен на борт военного самолета, который доставит его в Иорданию.Родившийся в Иордании Абу Катада проживал в Великобритании с 1993 года. Он считается одним из главных проповедников идей радикального ислама в Европе; ранее его также называли доверенным лицом основателя «Аль-Каеды» Усамы бин Ладена.Власти Иордании обвиняют Катаду в организации терактов: еще в 1999 году он был заочно приговорен к пожизненному заключению. Правительство Великобритании, однако, на протяжении многих лет не имело возможности депортировать исламиста, так как тот успешно добивался судебных запретов на такие действия, мотивированных тем, что на родине его может ждать несправедливый суд.Экстрадиция Катады на родину стала возможной после того, как Великобритания и Иордания заключили специальный договор, который гарантировал всем экстрадированным лицам право на справедливое судебное разбирательство; в частности, в нем Иордания взяла на себя обязательство не использовать на суде против Катады в качестве доказательств сведения, полученные с помощью пыток.По подсчетам правительства Великобритании, опубликованным в середине июня 2013 года, судебные процессы, касающиеся экстрадиции Абу Катады, обошлись бюджету страны в 1,7 миллиона фунтов стерлингов."
20131205mitino,Москвичу дали шесть лет за 24 изнасилования,"В Москве вынесли приговор 25-летнему Сергею Ревякину, признанному виновным в 24 изнасилованиях. Об этом 5 декабря сообщается на сайте Следственного комитета РФ.Ревякин признан виновным по статьям УК РФ 131 (изнасилование) и 132 (насильственные действия сексуального характера). Он приговорен к шести годам лишения свободы.Ревякин нападал на женщин в районе Митино и в Зеленограде в 2004-2012 годах. Чаще всего он совершал преступления в кабинах лифтов. Перед нападением он делал вид, что хочет познакомиться, и представлялся Дмитрием. Версию о том, что преступления совершает один человек, следователи выдвинули в 2010 году.Подозреваемого задержали после изнасилования, совершенного 30 ноября 2012 года. По информации издания Zelenograd.ru, в распоряжении следствия имелась запись камеры видеонаблюдения с места преступления. Когда запись опубликовали, в полицию позвонил сотрудник некой фирмы и заявил, что похожий человек работает в соседнем офисе водителем. Позднее генетическая экспертиза доказала причастность Ревякина к другим 23 преступлениям. Молодой человек признал свою вину, выразил раскаяние и сотрудничал со следствием. Zelenograd.ru отмечает, что Ревякина подозревали и в других изнасилованиях (в том числе совершенных в Тушино и Химках), но доказать его вину не удалось."
20130802sagra,Троим участникам нападения на Сагру смягчили приговор ,"Верховный суд РФ 2 августа смягчил наказание троим фигурантам дела о нападении на поселок Сагра. Об этом сообщает «Интерфакс».Одному из организаторов преступления, Вячеславу Лебедеву, изменили срок с четырех лет до двух лет и двух месяцев. Двум другим фигурантам заменили наказание с реального на условное. Как уточняет РИА Новости, речь идет об Артеме Рабаданове и Шота Катамадзе, которых отпустили из-под стражи в зале суда.Смягчить наказание либо вовсе отменить приговор просили и остальные фигуранты этого дела. Однако им Верховный суд отказал.Приговор по делу о нападении на Сагру вынес в марте 2013 года Свердловский областной суд. Всего на скамье подсудимых находилось 24 человека. Они обвинялись в организации или участии в массовых беспорядках. Самое большое наказание получил организатор нападения Иван Лебедев, которому дали шесть лет колонии. Реальные сроки получили еще шестеро человек, в том числе Рабаданов, Катамадзе и Вячеслав Лебедев. Остальных приговорили к условным срокам.Нападение на поселок Сагра Свердловской области произошло 1 июля 2011 года. Как считают следователи, конфликт начался из-за того, что дачник Сергей Зубарев обвинил работников Вячеслава Лебедева в краже. Лебедев и его сестра обратились за помощью к своему родственнику Ивану Лебедеву, который находился в тот момент в колонии. В итоге вооруженные люди на 15 машинах напали на жителей Сагры, однако те дали отпор, застрелив одного из напавших из ружья."
